cod_comarca;comarca;Igcrime_2016;ranking_2016;Igcrime_2015;ranking_2015;Igcrime_2014;ranking_2014;Igcrime_2013;ranking_2013;Igcrime_2012;ranking_2012
65;São Francisco de Itabapoana;0,33987717;62;0,328170617;51;0,329084914;36;0,35205649;39;0,318805674;36
63;Comarca Santo Antônio de Pádua e Aperibé;0,339728648;63;0,327726898;57;0,32502644;45;0,348429411;51;0,311865958;74
25;Iguaba Grande;0,339721369;64;0,327429028;61;0,323222835;59;0,348122269;53;0,314129774;51
33;Laje do Muriaé;0,339538718;65;0,326013511;77;0,322087898;71;0,345652514;78;0,312438377;70
38;Mendes;0,339263057;66;0,326744617;69;0,324116497;50;0,346114804;74;0,313152363;57
52;Pinheiral;0,339176859;67;0,325494566;80;0,322192507;70;0,348099096;54;0,312810825;63
20;Comarca Cordeiro e Macuco;0,339154203;68;0,326347394;73;0,322219102;68;0,347388461;61;0,312795788;64
75;Silva Jardim;0,339016478;69;0,329948897;46;0,323936059;53;0,353700242;35;0,315577377;46
42;Comarca Natividade e Varre e Sai;0,338882352;70;0,32575956;78;0,321788656;76;0,346282969;72;0,311739599;75
55;Comarca Porto Real e Quatis;0,338873573;71;0,327068091;65;0,322738555;62;0,347408228;59;0,316328065;42
17;Carmo;0,33885246;72;0,32709154;64;0,328272426;38;0,344983908;81;0,312050493;72
59;Rio Claro;0,338740305;73;0,332169284;38;0,322366261;65;0,34830142;52;0,312660388;66
69;São José do Vale do Rio Preto;0,338487314;74;0,324986628;81;0,320907303;81;0,345634668;80;0,311319305;78
71;São Sebastião do Alto;0,338471782;75;0,327378372;62;0,324092818;51;0,346551523;70;0,311615856;76
64;São Fidélis;0,338390889;76;0,326631427;70;0,321822142;75;0,346567425;69;0,312781958;65
60;Rio das Flores;0,338378215;77;0,326144738;76;0,322447662;64;0,346647079;68;0,313085545;58
12;Comarca Cambuci e São José de Ubá;0,338169312;78;0,325718408;79;0,321492394;79;0,345766673;77;0,31086086;80
8;Bom Jardim;0,338051714;79;0,329322095;47;0,321636117;77;0,346391624;71;0,313552766;54
79;Trajano de Morais;0,338000836;80;0,327856871;55;0,321923868;74;0,346996264;66;0,312992541;60
76;Sumidouro;0,337928137;81;0,326171288;75;0,322316401;66;0,345893179;76;0,310795102;81
;;;;;;;;;;;
;;;;;;;;;;;
;;;;;;;;;;;
;;;;;;;;;;;
;;;;;;;;;;;
;;;;;;;;;;;
;;;;;;;;;;;
;;;;;;;;;;;
;;;;;;;;;;;
;;;;;;;;;;;
;;;;;;;;;;;
;;;;;;;;;;;
;;;;;;;;;;;
;;;;;;;;;;;
;;;;;;;;;;;
;;;;;;;;;;;
;;;;;;;;;;;
;;;;;;;;;;;
;;;;;;;;;;;
;;;;;;;;;;;
;;;;;;;;;;;
;;;;;;;;;;;
;;;;;;;;;;;
;;;;;;;;;;;
;;;;;;;;;;;
;;;;;;;;;;;
;;;;;;;;;;;
;;;;;;;;;;;
;;;;;;;;;;;
;;;;;;;;;;;
;;;;;;;;;;;
;;;;;;;;;;;
;;;;;;;;;;;
